first_name,fname,FName,given_name,frst_name,name_first,FirstName,First_Nm,given_nm,fn,last_name,lname,LastName,surname,family_name,lastnme,lst_name,sn,family_nm,customer_id,cust_id,client_id,user_id,account_id,id_customer,custid,ClientID,usr_id,acnt_id,customer_no,cust_no,email,email_address,e_mail,mail_addr,emial,contact_email,email_id,mail,primary_email,phone_number,mobile,tel,phone_no,contact_phone,phn,mobile_number,cell,telephone,created_date,registration_date,signup_date,create_dt,reg_date,date_created,created_on,join_date,address,street_address,addr,location,home_address,street_addr,addrs,status,account_status,user_status,stat,acc_status,amount,total_amount,amt,payment_amount,bill_amt,value,price,notes,description,comment,temp_col,extra_field
Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,36092,36092,36092,36092,36092,36092,36092,36092,36092,36092,36092,36092,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,555-2906,555-2906,555-2906,555-2906,555-2906,555-2906,555-2906,555-2906,555-2906,2023-01-11,2023-01-11,2023-01-11,2023-01-11,2023-01-11,2023-01-11,2023-01-11,2023-01-11,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,active,active,active,active,active,3497.9637828175423,3497.9637828175423,3497.9637828175423,3497.9637828175423,3497.9637828175423,3497.9637828175423,3497.9637828175423,Note B,Desc 2,Comment Y,90,X
Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,21338,21338,21338,21338,21338,21338,21338,21338,21338,21338,21338,21338,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,555-7254,555-7254,555-7254,555-7254,555-7254,555-7254,555-7254,555-7254,555-7254,2023-01-12,2023-01-12,2023-01-12,2023-01-12,2023-01-12,2023-01-12,2023-01-12,2023-01-12,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,pending,pending,pending,pending,pending,954.2154835271793,954.2154835271793,954.2154835271793,954.2154835271793,954.2154835271793,954.2154835271793,954.2154835271793,Note B,Desc 1,Comment X,58,X
Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,555-1760,555-1760,555-1760,555-1760,555-1760,555-1760,555-1760,555-1760,555-1760,2023-01-13,2023-01-13,2023-01-13,2023-01-13,2023-01-13,2023-01-13,2023-01-13,2023-01-13,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,suspended,suspended,suspended,suspended,suspended,4409.3692925240475,4409.3692925240475,4409.3692925240475,4409.3692925240475,4409.3692925240475,4409.3692925240475,4409.3692925240475,Note B,Desc 1,Comment X,54,Y
Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,17543,17543,17543,17543,17543,17543,17543,17543,17543,17543,17543,17543,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,555-8830,555-8830,555-8830,555-8830,555-8830,555-8830,555-8830,555-8830,555-8830,2023-01-14,2023-01-14,2023-01-14,2023-01-14,2023-01-14,2023-01-14,2023-01-14,2023-01-14,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,inactive,inactive,inactive,inactive,inactive,4806.963288042688,4806.963288042688,4806.963288042688,4806.963288042688,4806.963288042688,4806.963288042688,4806.963288042688,Note A,Desc 2,Comment X,12,X
David,David,David,David,David,David,David,David,David,David,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,43496,43496,43496,43496,43496,43496,43496,43496,43496,43496,43496,43496,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,555-8350,555-8350,555-8350,555-8350,555-8350,555-8350,555-8350,555-8350,555-8350,2023-01-15,2023-01-15,2023-01-15,2023-01-15,2023-01-15,2023-01-15,2023-01-15,2023-01-15,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,suspended,suspended,suspended,suspended,suspended,2332.695343762218,2332.695343762218,2332.695343762218,2332.695343762218,2332.695343762218,2332.695343762218,2332.695343762218,Note B,Desc 1,Comment X,81,X
Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,70692,70692,70692,70692,70692,70692,70692,70692,70692,70692,70692,70692,charlie.wilson@example.com,charlie.wilson@example.com,charlie.wilson@example.com,charlie.wilson@example.com,charlie.wilson@example.com,charlie.wilson@example.com,charlie.wilson@example.com,charlie.wilson@example.com,charlie.wilson@example.com,555-7238,555-7238,555-7238,555-7238,555-7238,555-7238,555-7238,555-7238,555-7238,2023-01-16,2023-01-16,2023-01-16,2023-01-16,2023-01-16,2023-01-16,2023-01-16,2023-01-16,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,suspended,suspended,suspended,suspended,suspended,4396.566686338377,4396.566686338377,4396.566686338377,4396.566686338377,4396.566686338377,4396.566686338377,4396.566686338377,Note B,Desc 1,Comment X,78,X
Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,99084,99084,99084,99084,99084,99084,99084,99084,99084,99084,99084,99084,frank.johnson@example.com,frank.johnson@example.com,frank.johnson@example.com,frank.johnson@example.com,frank.johnson@example.com,frank.johnson@example.com,frank.johnson@example.com,frank.johnson@example.com,frank.johnson@example.com,555-7090,555-7090,555-7090,555-7090,555-7090,555-7090,555-7090,555-7090,555-7090,2023-01-17,2023-01-17,2023-01-17,2023-01-17,2023-01-17,2023-01-17,2023-01-17,2023-01-17,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,pending,pending,pending,pending,pending,35.67440206602669,35.67440206602669,35.67440206602669,35.67440206602669,35.67440206602669,35.67440206602669,35.67440206602669,Note A,Desc 2,Comment Y,14,X
Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,54425,54425,54425,54425,54425,54425,54425,54425,54425,54425,54425,54425,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,555-7031,555-7031,555-7031,555-7031,555-7031,555-7031,555-7031,555-7031,555-7031,2023-01-18,2023-01-18,2023-01-18,2023-01-18,2023-01-18,2023-01-18,2023-01-18,2023-01-18,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,suspended,suspended,suspended,suspended,suspended,4101.53511786642,4101.53511786642,4101.53511786642,4101.53511786642,4101.53511786642,4101.53511786642,4101.53511786642,Note B,Desc 1,Comment Y,34,Y
Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,48756,48756,48756,48756,48756,48756,48756,48756,48756,48756,48756,48756,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,555-8687,555-8687,555-8687,555-8687,555-8687,555-8687,555-8687,555-8687,555-8687,2023-01-19,2023-01-19,2023-01-19,2023-01-19,2023-01-19,2023-01-19,2023-01-19,2023-01-19,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,pending,pending,pending,pending,pending,1150.8395560093684,1150.8395560093684,1150.8395560093684,1150.8395560093684,1150.8395560093684,1150.8395560093684,1150.8395560093684,Note A,Desc 1,Comment X,53,Y
David,David,David,David,David,David,David,David,David,David,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,28888,28888,28888,28888,28888,28888,28888,28888,28888,28888,28888,28888,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,555-9472,555-9472,555-9472,555-9472,555-9472,555-9472,555-9472,555-9472,555-9472,2023-01-20,2023-01-20,2023-01-20,2023-01-20,2023-01-20,2023-01-20,2023-01-20,2023-01-20,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,active,active,active,active,active,4544.419533254146,4544.419533254146,4544.419533254146,4544.419533254146,4544.419533254146,4544.419533254146,4544.419533254146,Note B,Desc 2,Comment X,20,Y
Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,45735,45735,45735,45735,45735,45735,45735,45735,45735,45735,45735,45735,frank.smith@example.com,frank.smith@example.com,frank.smith@example.com,frank.smith@example.com,frank.smith@example.com,frank.smith@example.com,frank.smith@example.com,frank.smith@example.com,frank.smith@example.com,555-2887,555-2887,555-2887,555-2887,555-2887,555-2887,555-2887,555-2887,555-2887,2023-01-21,2023-01-21,2023-01-21,2023-01-21,2023-01-21,2023-01-21,2023-01-21,2023-01-21,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,active,active,active,active,active,15.58935628574634,15.58935628574634,15.58935628574634,15.58935628574634,15.58935628574634,15.58935628574634,15.58935628574634,Note A,Desc 1,Comment X,75,Y
Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,57295,57295,57295,57295,57295,57295,57295,57295,57295,57295,57295,57295,frank.brown@example.com,frank.brown@example.com,frank.brown@example.com,frank.brown@example.com,frank.brown@example.com,frank.brown@example.com,frank.brown@example.com,frank.brown@example.com,frank.brown@example.com,555-4266,555-4266,555-4266,555-4266,555-4266,555-4266,555-4266,555-4266,555-4266,2023-01-22,2023-01-22,2023-01-22,2023-01-22,2023-01-22,2023-01-22,2023-01-22,2023-01-22,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,pending,pending,pending,pending,pending,2785.3468578483876,2785.3468578483876,2785.3468578483876,2785.3468578483876,2785.3468578483876,2785.3468578483876,2785.3468578483876,Note B,Desc 1,Comment Y,16,Y
Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,93042,93042,93042,93042,93042,93042,93042,93042,93042,93042,93042,93042,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,555-1666,555-1666,555-1666,555-1666,555-1666,555-1666,555-1666,555-1666,555-1666,2023-01-23,2023-01-23,2023-01-23,2023-01-23,2023-01-23,2023-01-23,2023-01-23,2023-01-23,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,active,active,active,active,active,3785.612660886824,3785.612660886824,3785.612660886824,3785.612660886824,3785.612660886824,3785.612660886824,3785.612660886824,Note A,Desc 2,Comment X,95,Y
David,David,David,David,David,David,David,David,David,David,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,95999,95999,95999,95999,95999,95999,95999,95999,95999,95999,95999,95999,david.smith@example.com,david.smith@example.com,david.smith@example.com,david.smith@example.com,david.smith@example.com,david.smith@example.com,david.smith@example.com,david.smith@example.com,david.smith@example.com,555-5188,555-5188,555-5188,555-5188,555-5188,555-5188,555-5188,555-5188,555-5188,2023-01-24,2023-01-24,2023-01-24,2023-01-24,2023-01-24,2023-01-24,2023-01-24,2023-01-24,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,inactive,inactive,inactive,inactive,inactive,1300.8547701825607,1300.8547701825607,1300.8547701825607,1300.8547701825607,1300.8547701825607,1300.8547701825607,1300.8547701825607,Note B,Desc 2,Comment X,70,Y
Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,27955,27955,27955,27955,27955,27955,27955,27955,27955,27955,27955,27955,eva.johnson@example.com,eva.johnson@example.com,eva.johnson@example.com,eva.johnson@example.com,eva.johnson@example.com,eva.johnson@example.com,eva.johnson@example.com,eva.johnson@example.com,eva.johnson@example.com,555-1671,555-1671,555-1671,555-1671,555-1671,555-1671,555-1671,555-1671,555-1671,2023-01-25,2023-01-25,2023-01-25,2023-01-25,2023-01-25,2023-01-25,2023-01-25,2023-01-25,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,suspended,suspended,suspended,suspended,suspended,973.7329942905924,973.7329942905924,973.7329942905924,973.7329942905924,973.7329942905924,973.7329942905924,973.7329942905924,Note B,Desc 2,Comment Y,56,Y
Alice,Alice,Alice,Alice,Alice,Alice,Alice,Alice,Alice,Alice,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,47841,47841,47841,47841,47841,47841,47841,47841,47841,47841,47841,47841,alice.smith@example.com,alice.smith@example.com,alice.smith@example.com,alice.smith@example.com,alice.smith@example.com,alice.smith@example.com,alice.smith@example.com,alice.smith@example.com,alice.smith@example.com,555-7777,555-7777,555-7777,555-7777,555-7777,555-7777,555-7777,555-7777,555-7777,2023-01-26,2023-01-26,2023-01-26,2023-01-26,2023-01-26,2023-01-26,2023-01-26,2023-01-26,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,inactive,inactive,inactive,inactive,inactive,429.6501400952434,429.6501400952434,429.6501400952434,429.6501400952434,429.6501400952434,429.6501400952434,429.6501400952434,Note A,Desc 1,Comment Y,83,Y
David,David,David,David,David,David,David,David,David,David,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,david.wilson@example.com,david.wilson@example.com,david.wilson@example.com,david.wilson@example.com,david.wilson@example.com,david.wilson@example.com,david.wilson@example.com,david.wilson@example.com,david.wilson@example.com,555-8570,555-8570,555-8570,555-8570,555-8570,555-8570,555-8570,555-8570,555-8570,2023-01-27,2023-01-27,2023-01-27,2023-01-27,2023-01-27,2023-01-27,2023-01-27,2023-01-27,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,suspended,suspended,suspended,suspended,suspended,1638.9035467514318,1638.9035467514318,1638.9035467514318,1638.9035467514318,1638.9035467514318,1638.9035467514318,1638.9035467514318,Note A,Desc 2,Comment X,58,Y
Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,75510,75510,75510,75510,75510,75510,75510,75510,75510,75510,75510,75510,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,bob.brown@example.com,555-8956,555-8956,555-8956,555-8956,555-8956,555-8956,555-8956,555-8956,555-8956,2023-01-28,2023-01-28,2023-01-28,2023-01-28,2023-01-28,2023-01-28,2023-01-28,2023-01-28,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,active,active,active,active,active,2803.623118421059,2803.623118421059,2803.623118421059,2803.623118421059,2803.623118421059,2803.623118421059,2803.623118421059,Note A,Desc 1,Comment X,4,X
Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Frank,Davis,Davis,Davis,Davis,Davis,Davis,Davis,Davis,Davis,44911,44911,44911,44911,44911,44911,44911,44911,44911,44911,44911,44911,frank.davis@example.com,frank.davis@example.com,frank.davis@example.com,frank.davis@example.com,frank.davis@example.com,frank.davis@example.com,frank.davis@example.com,frank.davis@example.com,frank.davis@example.com,555-6124,555-6124,555-6124,555-6124,555-6124,555-6124,555-6124,555-6124,555-6124,2023-01-29,2023-01-29,2023-01-29,2023-01-29,2023-01-29,2023-01-29,2023-01-29,2023-01-29,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,inactive,inactive,inactive,inactive,inactive,588.0608453334858,588.0608453334858,588.0608453334858,588.0608453334858,588.0608453334858,588.0608453334858,588.0608453334858,Note A,Desc 2,Comment X,4,Y
