first_name,fname,FName,given_name,frst_name,name_first,FirstName,last_name,surname,family_name,lname,lastnme,customer_id,cust_id,client_id,user_id,account_id,id_customer,custid,email,email_address,e_mail,mail_addr,emial,contact_email,phone_number,mobile,tel,phone_no,contact_phone,phn,mobile_number,created_date,registration_date,signup_date,create_dt,reg_date,date_created,address,street_address,addr,location,home_address,status,account_status,user_status,stat,amount,total_amount,amt,payment_amount,bill_amt,unique_col1,description,notes
Eve,Eve,Eve,Eve,Eve,Eve,Eve,Johnson,Smith,Lee,Smith,Smith,5548,5548,5548,5548,5548,5548,5548,eve@example.com,eve@example.com,eve@example.com,eve@example.com,eve@example.com,eve@example.com,555-8723,555-8723,555-8723,555-8723,555-8723,555-8723,555-8723,2024-02-05,2024-02-05,2024-02-05,2024-02-05,2024-02-05,2024-02-05,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,inactive,inactive,inactive,inactive,947.8105062156972,947.8105062156972,947.8105062156972,947.8105062156972,947.8105062156972,4,Note A,Note B
Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Lee,Lee,Lee,Johnson,Johnson,4108,4108,4108,4108,4108,4108,4108,charlie@example.com,charlie@example.com,charlie@example.com,charlie@example.com,charlie@example.com,charlie@example.com,555-5380,555-5380,555-5380,555-5380,555-5380,555-5380,555-5380,2024-02-06,2024-02-06,2024-02-06,2024-02-06,2024-02-06,2024-02-06,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,pending,pending,pending,pending,161.8178890849194,161.8178890849194,161.8178890849194,161.8178890849194,161.8178890849194,6,Note B,Note A
Eve,Eve,Eve,Eve,Eve,Eve,Eve,Smith,Johnson,Johnson,Johnson,Smith,8158,8158,8158,8158,8158,8158,8158,eve@example.com,eve@example.com,eve@example.com,eve@example.com,eve@example.com,eve@example.com,555-5107,555-5107,555-5107,555-5107,555-5107,555-5107,555-5107,2024-02-07,2024-02-07,2024-02-07,2024-02-07,2024-02-07,2024-02-07,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,active,active,active,active,590.3675336966293,590.3675336966293,590.3675336966293,590.3675336966293,590.3675336966293,6,Note A,Note B
Alice,Alice,Alice,Alice,Alice,Alice,Alice,Lee,Smith,Smith,Smith,Smith,8400,8400,8400,8400,8400,8400,8400,alice@example.com,alice@example.com,alice@example.com,alice@example.com,alice@example.com,alice@example.com,555-6726,555-6726,555-6726,555-6726,555-6726,555-6726,555-6726,2024-02-08,2024-02-08,2024-02-08,2024-02-08,2024-02-08,2024-02-08,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,active,active,active,active,510.8297920956213,510.8297920956213,510.8297920956213,510.8297920956213,510.8297920956213,2,Note B,Note A
Bob,Bob,Bob,Bob,Bob,Bob,Bob,Johnson,Smith,Smith,Lee,Johnson,4170,4170,4170,4170,4170,4170,4170,bob@example.com,bob@example.com,bob@example.com,bob@example.com,bob@example.com,bob@example.com,555-4373,555-4373,555-4373,555-4373,555-4373,555-4373,555-4373,2024-02-09,2024-02-09,2024-02-09,2024-02-09,2024-02-09,2024-02-09,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,inactive,inactive,inactive,inactive,615.3396930803013,615.3396930803013,615.3396930803013,615.3396930803013,615.3396930803013,8,Note A,Note A
David,David,David,David,David,David,David,Smith,Lee,Smith,Johnson,Smith,3255,3255,3255,3255,3255,3255,3255,david@example.com,david@example.com,david@example.com,david@example.com,david@example.com,david@example.com,555-9945,555-9945,555-9945,555-9945,555-9945,555-9945,555-9945,2024-02-10,2024-02-10,2024-02-10,2024-02-10,2024-02-10,2024-02-10,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,pending,pending,pending,pending,27.929081982632102,27.929081982632102,27.929081982632102,27.929081982632102,27.929081982632102,7,Note A,Note B
Alice,Alice,Alice,Alice,Alice,Alice,Alice,Johnson,Johnson,Smith,Lee,Lee,2154,2154,2154,2154,2154,2154,2154,alice@example.com,alice@example.com,alice@example.com,alice@example.com,alice@example.com,alice@example.com,555-3082,555-3082,555-3082,555-3082,555-3082,555-3082,555-3082,2024-02-11,2024-02-11,2024-02-11,2024-02-11,2024-02-11,2024-02-11,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,pending,pending,pending,pending,873.40266985471,873.40266985471,873.40266985471,873.40266985471,873.40266985471,1,Note B,Note B
David,David,David,David,David,David,David,Johnson,Lee,Lee,Smith,Lee,5499,5499,5499,5499,5499,5499,5499,david@example.com,david@example.com,david@example.com,david@example.com,david@example.com,david@example.com,555-9967,555-9967,555-9967,555-9967,555-9967,555-9967,555-9967,2024-02-12,2024-02-12,2024-02-12,2024-02-12,2024-02-12,2024-02-12,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,inactive,inactive,inactive,inactive,932.7970996587762,932.7970996587762,932.7970996587762,932.7970996587762,932.7970996587762,5,Note A,Note B
Bob,Bob,Bob,Bob,Bob,Bob,Bob,Smith,Johnson,Lee,Johnson,Lee,7295,7295,7295,7295,7295,7295,7295,bob@example.com,bob@example.com,bob@example.com,bob@example.com,bob@example.com,bob@example.com,555-7748,555-7748,555-7748,555-7748,555-7748,555-7748,555-7748,2024-02-13,2024-02-13,2024-02-13,2024-02-13,2024-02-13,2024-02-13,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,inactive,inactive,inactive,inactive,569.4818517533168,569.4818517533168,569.4818517533168,569.4818517533168,569.4818517533168,6,Note B,Note B
Bob,Bob,Bob,Bob,Bob,Bob,Bob,Smith,Johnson,Johnson,Lee,Lee,7197,7197,7197,7197,7197,7197,7197,bob@example.com,bob@example.com,bob@example.com,bob@example.com,bob@example.com,bob@example.com,555-1417,555-1417,555-1417,555-1417,555-1417,555-1417,555-1417,2024-02-14,2024-02-14,2024-02-14,2024-02-14,2024-02-14,2024-02-14,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,pending,pending,pending,pending,699.6843156381233,699.6843156381233,699.6843156381233,699.6843156381233,699.6843156381233,4,Note B,Note B
Alice,Alice,Alice,Alice,Alice,Alice,Alice,Smith,Johnson,Johnson,Johnson,Johnson,2648,2648,2648,2648,2648,2648,2648,alice@example.com,alice@example.com,alice@example.com,alice@example.com,alice@example.com,alice@example.com,555-9306,555-9306,555-9306,555-9306,555-9306,555-9306,555-9306,2024-02-15,2024-02-15,2024-02-15,2024-02-15,2024-02-15,2024-02-15,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,active,active,active,active,923.2743873655228,923.2743873655228,923.2743873655228,923.2743873655228,923.2743873655228,2,Note A,Note B
Bob,Bob,Bob,Bob,Bob,Bob,Bob,Smith,Smith,Lee,Smith,Johnson,6539,6539,6539,6539,6539,6539,6539,bob@example.com,bob@example.com,bob@example.com,bob@example.com,bob@example.com,bob@example.com,555-9808,555-9808,555-9808,555-9808,555-9808,555-9808,555-9808,2024-02-16,2024-02-16,2024-02-16,2024-02-16,2024-02-16,2024-02-16,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,pending,pending,pending,pending,710.1662479702646,710.1662479702646,710.1662479702646,710.1662479702646,710.1662479702646,4,Note B,Note B
